0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:45:58 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:45:58 +0530] "GET /FantezyFrontendProject/webapp/resources/images/aaa.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:46:45 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:46:45 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:46:45 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8865
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:46:45 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:46:45 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:48:24 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8883
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:48:24 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:48:24 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:48:24 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:48:24 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:49:00 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8865
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:49:00 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:49:00 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:49:00 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:49:00 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:50:06 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8864
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:50:06 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:50:07 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:50:07 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:17:50:07 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:13:21 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8864
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:13:21 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:13:21 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:13:21 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:13:21 +0530] "GET /resources/images/aaa.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:13:45 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8876
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:13:45 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:13:45 +0530] "GET /src/webapp/resources/images/aaa.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:13:45 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:13:45 +0530] "GET /src/webapp/resources/images/aaa.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:15:51 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8886
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:15:52 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:15:52 +0530] "GET /FantezyFrontendProject/resources/images/c.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:15:52 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:15:52 +0530] "GET /FantezyFrontendProject/resources/images/c.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:28:50 +0530] "GET /FantezyFrontendProject/? HTTP/1.1" 200 8829
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:28:50 +0530] "GET /FantezyFrontendProject/resources/css/Head.css HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:28:51 +0530] "GET /FantezyFrontendProject/resources/css/log.css HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:28:51 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Jul/2017:18:28:51 +0530] "GET /resources/images/c.jpg HTTP/1.1" 404 1038
